Klucz,Prawdopodobieństwo awarii,Koszt naprawy awarii,Czas naprawy [godz.],Moc zamówiona na wyłączonym obszarze [MW],Moc rzeczywista,Koszt niesprzedania ciepła,Całkowity koszt awarii,Ryzyko
22331,0.054,13006.8,8.5,11.9,11.9,15078.2,28085.0,1518.0
30499,0.082,12781.7,8.5,4.4,4.4,5588.6,18370.3,1508.4
23217,0.068,15181.3,8.5,5.5,5.5,7005.1,22186.3,1508.4
23005,0.049,12426.3,8.5,14.3,14.3,18163.8,30590.1,1495.7
22925,0.054,11961.2,8.5,12.5,12.5,15881.3,27842.5,1493.2
22993,0.044,12347.9,8.5,16.7,16.7,21270.4,33618.3,1484.5
22697,0.058,12154.5,8.5,10.2,10.2,12932.7,25087.2,1457.8
22183,0.05,12347.9,8.5,12.8,12.8,16257.6,28605.5,1439.2
22937,0.037,11675.8,8.5,21.2,21.2,27012.0,38687.8,1424.7
22877,0.027,7567.0,8.5,35.3,35.3,44829.3,52396.2,1421.9
30503,0.074,13513.8,8.5,4.2,4.2,5376.5,18890.3,1405.6
30495,0.074,13513.8,8.5,4.2,4.2,5376.5,18890.3,1400.4
27527,0.055,15617.3,8.5,7.6,7.6,9699.9,25317.2,1381.0
22669,0.038,7311.8,8.5,22.3,22.3,28414.7,35726.5,1370.5
27559,0.052,15965.6,8.5,8.0,8.0,10179.2,26144.8,1362.3
29807,0.071,13513.8,8.5,4.4,4.4,5556.1,19069.9,1354.2
22315,0.051,12443.5,8.5,11.1,11.1,14125.1,26568.6,1343.4
27007,0.075,8746.8,8.5,7.1,7.1,8989.1,17735.8,1336.5
29439,0.057,15868.9,8.5,5.8,5.8,7399.6,23268.5,1334.5
22965,0.061,14152.2,8.5,6.1,6.1,7776.8,21929.0,1334.4
22311,0.05,12443.5,8.5,11.1,11.1,14125.1,26568.6,1325.5
22933,0.053,11961.2,8.5,10.2,10.2,12932.7,24893.9,1322.9
22693,0.056,12154.5,8.5,8.7,8.7,11109.7,23264.1,1313.8
22319,0.048,12908.2,8.5,11.1,11.1,14125.1,27033.3,1310.5
22303,0.048,13156.3,8.5,11.1,11.1,14125.1,27281.3,1309.9
22981,0.044,12474.1,8.5,13.6,13.6,17242.8,29717.0,1303.0
22969,0.044,12474.1,8.5,13.6,13.6,17242.8,29717.0,1303.0
22961,0.044,12474.1,8.5,13.6,13.6,17242.8,29717.0,1298.0
85776,0.047,13156.3,8.5,11.4,11.4,14520.7,27677.0,1293.7
22977,0.044,12474.1,8.5,13.6,13.6,17242.8,29717.0,1293.0
23257,0.076,12120.7,8.5,3.9,3.9,4897.8,17018.6,1286.2
23751,0.044,13113.8,8.5,12.2,12.2,15474.0,28587.8,1264.6
25619,0.047,14165.9,8.5,9.6,9.6,12256.7,26422.6,1244.4
23193,0.057,10327.9,8.5,8.9,8.9,11327.9,21655.7,1242.7
23241,0.053,9768.4,8.5,10.6,10.6,13486.4,23254.7,1241.9
25587,0.047,14010.1,8.5,9.6,9.6,12256.7,26266.8,1241.8
22479,0.032,11338.0,8.5,21.5,21.5,27346.7,38684.6,1226.7
22685,0.054,12154.5,8.5,8.3,8.3,10526.5,22680.9,1223.7
23025,0.055,14435.5,8.5,5.6,5.6,7097.6,21533.2,1178.1
34955,0.038,13105.4,8.5,14.3,14.3,18123.8,31229.2,1176.9
22805,0.03,7615.0,8.5,24.8,24.8,31483.3,39098.2,1170.9
25547,0.044,13782.8,8.5,10.1,10.1,12809.4,26592.2,1167.0
22701,0.049,12889.5,8.5,8.7,8.7,11117.3,24006.9,1165.9
28139,0.072,9221.0,8.5,5.4,5.4,6816.7,16037.8,1157.8
23185,0.045,13474.8,8.5,9.6,9.6,12202.0,25676.8,1144.2
22837,0.029,7615.0,8.5,24.8,24.8,31483.3,39098.2,1123.8
25339,0.072,9292.5,8.5,5.0,5.0,6294.8,15587.2,1120.6
22709,0.047,12889.5,8.5,8.7,8.7,11117.3,24006.9,1119.6
23245,0.052,10327.9,8.5,8.9,8.9,11313.2,21641.1,1117.9
22985,0.038,13055.2,8.5,12.6,12.6,16056.0,29111.1,1116.4
27567,0.063,9328.3,8.5,6.5,6.5,8329.0,17657.3,1114.7
26127,0.057,7885.2,8.5,9.0,9.0,11457.9,19343.1,1107.8
22989,0.038,13055.2,8.5,12.6,12.6,16056.0,29111.1,1105.6
30703,0.088,5671.3,8.5,5.3,5.3,6744.7,12416.0,1093.8
27679,0.07,9292.5,8.5,5.0,5.0,6294.8,15587.2,1091.6
30903,0.075,8068.8,8.5,4.9,4.9,6247.8,14316.6,1070.0
26383,0.069,9221.0,8.5,5.0,5.0,6368.6,15589.7,1069.9
23089,0.068,9221.0,8.5,5.0,5.0,6368.6,15589.7,1064.9
34855,0.072,8068.8,8.5,5.1,5.1,6536.3,14605.1,1057.5
28071,0.066,9364.9,8.5,5.3,5.3,6719.3,16084.2,1056.7
31739,0.073,8068.8,8.5,5.0,5.0,6417.0,14485.7,1050.8
23213,0.063,14705.4,8.5,1.3,1.3,1621.8,16327.2,1035.3
31735,0.057,17473.6,8.5,0.6,0.6,815.9,18289.5,1034.2
29823,0.065,9221.0,8.5,5.2,5.2,6558.2,15779.2,1031.3
29659,0.062,9249.0,8.5,5.7,5.7,7280.4,16529.4,1030.7
22845,0.026,7615.0,8.5,24.8,24.8,31483.3,39098.2,1028.9
23165,0.062,14773.1,8.5,1.2,1.2,1482.2,16255.3,1011.5
34859,0.069,8131.7,8.5,5.2,5.2,6578.0,14709.7,1008.7
28995,0.061,9328.3,8.5,5.7,5.7,7198.8,16527.0,1000.3
100270,0.063,14097.8,8.5,1.2,1.2,1513.7,15611.5,979.6
33699,0.114,7464.9,8.5,0.9,0.9,1130.3,8595.2,977.7
26439,0.061,9262.4,8.5,5.3,5.3,6708.6,15971.0,975.2
85320,0.068,9221.0,8.5,4.1,4.1,5216.6,14437.7,974.9
25687,0.062,14097.8,8.5,1.2,1.2,1519.1,15616.8,974.4
26519,0.061,9228.3,8.5,5.3,5.3,6708.6,15936.9,971.3
26595,0.061,9228.3,8.5,5.3,5.3,6708.6,15936.9,971.3
27563,0.057,9328.3,8.5,5.6,5.6,7117.1,16445.4,937.3
23827,0.061,9292.9,8.5,4.6,4.6,5855.6,15148.6,926.0
22529,0.023,7567.5,8.5,25.6,25.6,32614.0,40181.5,922.7
23221,0.064,12775.2,8.5,1.2,1.2,1482.3,14257.5,915.7
23819,0.06,9262.4,8.5,4.6,4.6,5861.7,15124.1,907.1
23209,0.06,13911.7,8.5,0.9,0.9,1118.8,15030.5,903.9
84663,0.023,7615.0,8.5,24.8,24.8,31483.3,39098.2,893.1
30523,0.066,12363.0,8.5,1.0,1.0,1252.2,13615.2,891.8
23923,0.064,13142.2,8.5,0.6,0.6,766.0,13908.2,889.7
29335,0.054,14475.2,8.5,1.4,1.4,1789.8,16265.0,883.3
27575,0.085,9169.5,8.5,0.9,0.9,1190.4,10359.9,881.2
23447,0.044,6398.6,8.5,10.7,10.7,13664.3,20062.9,880.3
27579,0.052,9370.1,8.5,5.9,5.9,7517.0,16887.1,879.1
23177,0.062,13387.9,8.5,0.6,0.6,778.7,14166.6,872.9
28495,0.054,8015.3,8.5,6.4,6.4,8133.3,16148.5,866.3
23663,0.026,6353.1,8.5,21.0,21.0,26677.7,33030.8,864.6
25651,0.052,14407.8,8.5,1.6,1.6,2057.6,16465.5,860.5
30827,0.083,5671.3,8.5,3.6,3.6,4610.7,10282.0,857.1
22499,0.015,6814.6,8.5,40.6,40.6,51600.0,58414.6,854.9
34515,0.062,13015.2,8.5,0.4,0.4,564.0,13579.2,847.8
142202,0.05,15389.7,8.5,1.1,1.1,1387.1,16776.8,846.3
140328,0.055,9401.0,8.5,4.8,4.8,6082.0,15483.0,845.2
26255,0.065,11728.3,8.5,1.0,1.0,1277.8,13006.1,842.5
23759,0.067,11203.2,8.5,0.9,0.9,1205.3,12408.5,832.8
30363,0.084,8865.7,8.5,0.8,0.8,999.2,9864.9,830.0
22673,0.027,7281.0,8.5,18.3,18.3,23231.2,30512.2,827.2
22525,0.021,7773.1,8.5,25.0,25.0,31756.0,39529.1,825.7
139033,0.076,6047.3,8.5,3.8,3.8,4867.1,10914.5,825.0
31279,0.076,6047.3,8.5,3.8,3.8,4867.1,10914.5,824.4
22553,0.039,12547.0,8.5,6.5,6.5,8325.0,20872.0,823.3
28607,0.081,9240.6,8.5,0.7,0.7,906.5,10147.0,822.3
28399,0.05,8031.6,8.5,6.6,6.6,8423.5,16455.1,816.2
28611,0.103,6782.1,8.5,0.9,0.9,1139.0,7921.1,814.4
27055,0.098,7071.8,8.5,0.9,0.9,1207.3,8279.1,812.0
23943,0.065,11824.8,8.5,0.5,0.5,626.8,12451.6,809.4
29855,0.093,7421.5,8.5,1.0,1.0,1278.1,8699.6,804.8
85225,0.095,7324.9,8.5,0.9,0.9,1089.3,8414.2,802.1
30031,0.093,7452.2,8.5,0.8,0.8,1071.0,8523.2,796.4
27543,0.083,8712.1,8.5,0.7,0.7,911.5,9623.6,794.9
31103,0.076,8361.5,8.5,1.6,1.6,2013.8,10375.2,791.6
74448,0.077,8306.1,8.5,1.5,1.5,1896.4,10202.6,789.7
31967,0.043,7202.3,8.5,8.7,8.7,11027.6,18229.9,785.2
27703,0.081,8712.1,8.5,0.7,0.7,911.5,9623.6,783.2
22657,0.025,7421.4,8.5,18.7,18.7,23765.6,31187.0,783.2
22199,0.043,12889.7,8.5,4.0,4.0,5059.3,17949.1,780.4
31343,0.075,5691.4,8.5,3.7,3.7,4698.0,10389.5,775.9
28135,0.048,14982.2,8.5,0.9,0.9,1190.0,16172.2,773.5
29707,0.076,9169.5,8.5,0.8,0.8,1005.8,10175.3,771.5
26171,0.047,7909.1,8.5,6.6,6.6,8417.5,16326.6,770.9
27695,0.076,9240.6,8.5,0.7,0.7,906.5,10147.0,770.5
30355,0.091,7421.5,8.5,0.8,0.8,1046.2,8467.7,769.2
139539,0.047,7962.1,8.5,6.6,6.6,8344.6,16306.7,768.9
26187,0.047,7909.1,8.5,6.6,6.6,8417.5,16326.6,766.5
23153,0.077,8797.6,8.5,0.9,0.9,1087.3,9884.8,765.7
24067,0.12,5601.7,8.5,0.6,0.6,776.8,6378.6,765.0
30651,0.036,5580.8,8.5,12.4,12.4,15766.5,21347.2,759.4
29667,0.078,8645.1,8.5,0.8,0.8,1047.1,9692.2,754.8
28551,0.072,9268.5,8.5,0.8,0.8,1051.6,10320.1,741.0
29155,0.074,8797.6,8.5,1.0,1.0,1269.4,10067.0,740.0
28487,0.08,8045.4,8.5,1.0,1.0,1218.9,9264.2,739.5
93676,0.018,7567.0,8.5,26.6,26.6,33784.7,41351.7,739.4
23999,0.077,8697.3,8.5,0.7,0.7,913.3,9610.6,738.9
30351,0.081,7952.9,8.5,0.9,0.9,1133.2,9086.1,738.6
30003,0.08,8308.5,8.5,0.7,0.7,896.7,9205.2,738.2
29315,0.081,7952.9,8.5,0.9,0.9,1133.2,9086.1,734.5
29939,0.074,8865.7,8.5,0.8,0.8,999.2,9864.9,734.3
30063,0.076,8723.6,8.5,0.8,0.8,968.0,9691.6,732.6
27587,0.071,9268.5,8.5,0.8,0.8,1072.2,10340.7,730.1
26499,0.059,9034.2,8.5,2.6,2.6,3275.4,12309.6,726.4
29951,0.073,8865.7,8.5,0.9,0.9,1107.9,9973.6,725.9
29555,0.073,8865.7,8.5,0.9,0.9,1107.9,9973.6,725.9
26491,0.06,9104.2,8.5,2.3,2.3,2964.6,12068.8,725.8
27599,0.072,8934.8,8.5,0.9,0.9,1142.0,10076.8,723.7
26347,0.075,8765.1,8.5,0.7,0.7,895.8,9660.9,723.5
30055,0.078,8333.7,8.5,0.8,0.8,980.7,9314.4,722.4
25831,0.073,8745.7,8.5,0.9,0.9,1155.4,9901.0,718.8
28575,0.07,9312.6,8.5,0.8,0.8,1018.6,10331.2,718.5
29583,0.074,8645.1,8.5,0.9,0.9,1100.8,9745.9,717.7
34663,0.071,8899.9,8.5,0.9,0.9,1164.7,10064.5,715.8
29599,0.074,8723.6,8.5,0.8,0.8,990.5,9714.1,715.5
26587,0.06,9104.2,8.5,2.2,2.2,2845.2,11949.4,714.6
30071,0.076,8373.3,8.5,0.8,0.8,990.0,9363.3,712.8
29075,0.077,8045.4,8.5,1.0,1.0,1218.9,9264.2,712.6
29303,0.072,8630.4,8.5,1.0,1.0,1279.9,9910.3,710.2
30335,0.072,8630.4,8.5,1.0,1.0,1279.9,9910.3,710.2
29487,0.071,8797.6,8.5,0.9,0.9,1187.8,9985.3,708.1
29187,0.076,8045.4,8.5,1.0,1.0,1218.9,9264.2,706.0
29499,0.072,8671.3,8.5,0.9,0.9,1182.7,9854.0,705.6
26335,0.085,7452.2,8.5,0.7,0.7,882.4,8334.6,705.3
23201,0.053,9908.5,8.5,2.6,2.6,3285.6,13194.1,703.3
26623,0.068,9197.3,8.5,0.9,0.9,1165.1,10362.4,701.0
29067,0.069,8656.5,8.5,1.1,1.1,1438.8,10095.3,700.8
22689,0.045,12856.3,8.5,2.0,2.0,2506.1,15362.4,698.9
94447,0.067,9439.2,8.5,0.7,0.7,937.4,10376.6,697.8
29467,0.074,8373.3,8.5,0.8,0.8,1013.0,9386.3,697.6
87950,0.06,8424.8,8.5,2.6,2.6,3246.2,11671.0,695.4
27039,0.067,9197.3,8.5,0.9,0.9,1161.0,10358.3,694.3
30163,0.069,8656.5,8.5,1.2,1.2,1474.0,10130.5,694.0
23459,0.041,6627.5,8.5,8.1,8.1,10242.6,16870.2,692.9
30139,0.069,8671.3,8.5,1.1,1.1,1383.1,10054.4,692.5
29827,0.071,8697.7,8.5,0.8,0.8,1027.9,9725.6,688.9
29959,0.069,8934.8,8.5,0.8,0.8,998.4,9933.2,688.6
28615,0.068,9247.9,8.5,0.7,0.7,878.3,10126.2,686.0
29079,0.074,7952.9,8.5,1.0,1.0,1309.0,9261.9,684.9
30203,0.067,8697.7,8.5,1.2,1.2,1472.6,10170.3,683.8
29511,0.075,7952.9,8.5,0.9,0.9,1087.8,9040.7,682.1
29047,0.086,7036.8,8.5,0.7,0.7,917.9,7954.8,680.3
29907,0.083,7152.9,8.5,0.8,0.8,1053.4,8206.3,679.7
29715,0.068,8671.3,8.5,1.0,1.0,1243.6,9914.9,678.9
30679,0.09,6378.8,8.5,0.9,0.9,1140.6,7519.3,677.8
26411,0.058,8424.8,8.5,2.6,2.6,3260.1,11684.9,675.3
26299,0.058,8424.8,8.5,2.6,2.6,3260.1,11684.9,674.0
32379,0.057,8464.2,8.5,2.6,2.6,3260.1,11724.3,673.7
29527,0.085,7036.8,8.5,0.7,0.7,917.9,7954.8,672.8
29607,0.073,8373.3,8.5,0.6,0.6,798.0,9171.3,672.7
27663,0.057,8424.8,8.5,2.7,2.7,3393.2,11818.0,671.6
29651,0.057,8424.8,8.5,2.7,2.7,3393.2,11818.0,670.3
29859,0.08,7347.1,8.5,0.8,0.8,1025.2,8372.2,670.1
29723,0.073,7977.0,8.5,0.9,0.9,1154.9,9131.9,668.7
28379,0.077,7444.0,8.5,1.0,1.0,1213.7,8657.7,668.5
25355,0.07,8535.6,8.5,0.8,0.8,1047.0,9582.6,668.1
23157,0.067,8686.1,8.5,1.0,1.0,1236.8,9922.9,668.1
29943,0.068,8872.7,8.5,0.7,0.7,938.7,9811.4,667.5
28571,0.076,7637.0,8.5,0.9,0.9,1101.5,8738.4,667.0
27595,0.066,9026.1,8.5,0.9,0.9,1112.7,10138.8,666.5
29175,0.066,8798.8,8.5,1.1,1.1,1371.2,10170.0,666.1
28387,0.077,7444.0,8.5,1.0,1.0,1225.7,8669.7,665.7
30051,0.068,8726.0,8.5,0.9,0.9,1104.9,9831.0,665.0
34827,0.065,7666.4,8.5,2.0,2.0,2509.7,10176.2,664.5
22853,0.017,7567.0,8.5,24.8,24.8,31567.0,39133.9,662.0
25231,0.067,7124.2,8.5,2.1,2.1,2694.0,9818.2,660.6
112139,0.04,13856.1,8.5,2.0,2.0,2527.5,16383.6,660.6
29831,0.075,7637.0,8.5,0.9,0.9,1139.5,8776.4,660.0
30483,0.089,6424.6,8.5,0.8,0.8,967.9,7392.4,659.8
26711,0.08,7126.9,8.5,0.9,0.9,1150.9,8277.8,659.7
23249,0.048,11702.1,8.5,1.6,1.6,1973.6,13675.7,659.6
27611,0.068,8659.9,8.5,0.9,0.9,1104.9,9764.9,659.3
31347,0.066,7990.5,8.5,1.5,1.5,1960.6,9951.1,659.1
99187,0.066,8659.0,8.5,1.0,1.0,1247.1,9906.1,658.3
26527,0.054,9561.1,8.5,2.1,2.1,2686.3,12247.4,657.2
29979,0.069,8601.7,8.5,0.7,0.7,889.8,9491.5,657.0
25575,0.069,8637.2,8.5,0.7,0.7,845.8,9483.0,656.8
30327,0.066,8712.5,8.5,1.0,1.0,1282.3,9994.9,656.8
29275,0.08,7308.2,8.5,0.7,0.7,945.8,8254.0,656.7
29023,0.071,8045.4,8.5,1.0,1.0,1218.9,9264.2,656.4
29971,0.068,8535.6,8.5,0.8,0.8,1077.0,9612.6,655.4
25855,0.08,7091.7,8.5,0.8,0.8,1058.5,8150.2,654.5
29923,0.08,7140.7,8.5,0.8,0.8,1002.0,8142.7,654.0
29931,0.059,8490.0,8.5,2.0,2.0,2531.3,11021.3,654.0
85837,0.045,12032.2,8.5,1.9,1.9,2470.3,14502.5,653.9
31277,0.072,7695.9,8.5,1.1,1.1,1394.4,9090.3,653.7
29919,0.059,8529.8,8.5,2.0,2.0,2531.3,11061.0,652.6
30047,0.072,8315.1,8.5,0.6,0.6,731.2,9046.3,652.5
29595,0.072,8315.1,8.5,0.6,0.6,736.3,9051.4,651.7
30027,0.066,8726.0,8.5,0.9,0.9,1146.1,9872.1,650.5
29515,0.067,8535.6,8.5,0.9,0.9,1195.5,9731.1,650.1
39190,0.082,6835.0,8.5,0.9,0.9,1082.1,7917.1,650.0
30299,0.065,8521.1,8.5,1.2,1.2,1527.4,10048.4,648.2
26175,0.075,7523.1,8.5,0.8,0.8,1052.2,8575.3,645.4
23947,0.037,6755.4,8.5,8.4,8.4,10621.4,17376.8,645.3
75640,0.072,7804.8,8.5,0.9,0.9,1165.2,8970.0,644.8
23475,0.037,6755.4,8.5,8.4,8.4,10621.4,17376.8,644.7
26643,0.08,7196.8,8.5,0.7,0.7,865.5,8062.3,644.0
29379,0.08,7196.8,8.5,0.7,0.7,865.5,8062.3,644.0
28375,0.072,8116.2,8.5,0.7,0.7,832.3,8948.5,642.9
29955,0.071,8203.3,8.5,0.7,0.7,875.4,9078.7,642.7
26615,0.063,8983.7,8.5,1.0,1.0,1213.1,10196.8,642.1
28147,0.066,8470.0,8.5,0.9,0.9,1195.5,9665.4,642.1
31035,0.072,7806.7,8.5,0.9,0.9,1142.2,8948.9,641.6
29559,0.066,8470.0,8.5,0.9,0.9,1205.5,9675.4,641.5
22861,0.016,7712.9,8.5,25.3,25.3,32235.0,39948.0,640.5
30147,0.065,8521.1,8.5,1.1,1.1,1337.8,9858.9,639.6
29003,0.065,8521.1,8.5,1.0,1.0,1256.5,9777.5,639.1
33691,0.063,8757.2,8.5,1.1,1.1,1360.6,10117.8,638.4
29787,0.069,8381.6,8.5,0.7,0.7,888.8,9270.4,638.3
30343,0.064,8430.6,8.5,1.2,1.2,1558.3,9988.9,638.3
29523,0.068,8392.0,8.5,0.8,0.8,1028.5,9420.6,637.9
30315,0.068,8014.9,8.5,1.1,1.1,1358.9,9373.8,637.2
30319,0.063,8535.6,8.5,1.2,1.2,1525.7,10061.3,636.7
25895,0.055,9635.2,8.5,1.5,1.5,1919.3,11554.5,636.6
34539,0.073,7948.5,8.5,0.6,0.6,823.3,8771.8,636.0
22793,0.016,7736.3,8.5,25.3,25.3,32235.0,39971.3,635.9
26107,0.041,12884.2,8.5,2.0,2.0,2551.9,15436.1,635.6
29203,0.067,8108.1,8.5,1.1,1.1,1417.0,9525.1,635.5
25871,0.065,7240.0,8.5,2.0,2.0,2545.2,9785.3,634.8
34659,0.063,8899.9,8.5,1.0,1.0,1238.8,10138.7,634.5
25859,0.064,7240.0,8.5,2.0,2.0,2571.0,9811.0,632.3
25563,0.041,12884.2,8.5,2.0,2.0,2583.4,15467.6,632.0
26323,0.057,8512.5,8.5,2.0,2.0,2589.3,11101.8,631.9
29367,0.063,8686.1,8.5,1.0,1.0,1277.0,9963.1,631.3
25907,0.059,9581.4,8.5,0.9,0.9,1171.7,10753.1,631.2
91871,0.039,12350.6,8.5,2.9,2.9,3676.3,16026.9,631.0
31523,0.064,8509.0,8.5,1.0,1.0,1278.2,9787.2,629.8
31527,0.066,8535.6,8.5,0.8,0.8,1030.0,9565.6,629.6
31135,0.103,5408.6,8.5,0.5,0.5,680.1,6088.8,628.9
29795,0.07,8079.0,8.5,0.7,0.7,872.4,8951.4,627.8
22757,0.016,7736.3,8.5,25.4,25.4,32276.8,40013.0,627.7
30127,0.064,8535.6,8.5,1.0,1.0,1254.3,9789.9,627.7
29287,0.064,8535.6,8.5,1.0,1.0,1254.3,9789.9,627.7
29891,0.079,7188.1,8.5,0.6,0.6,758.8,7947.0,627.6
25627,0.041,13584.8,8.5,1.3,1.3,1619.9,15204.7,626.9
30119,0.064,8535.6,8.5,1.0,1.0,1254.3,9789.9,626.5
25379,0.081,6835.0,8.5,0.7,0.7,843.2,7678.2,625.7
24011,0.076,7309.1,8.5,0.7,0.7,897.4,8206.5,625.6
85803,0.059,8803.3,8.5,1.3,1.3,1713.1,10516.4,625.3
25603,0.069,7959.8,8.5,0.8,0.8,1058.9,9018.7,624.1
28239,0.063,8752.6,8.5,0.9,0.9,1204.8,9957.3,623.1
94728,0.064,7273.9,8.5,2.0,2.0,2518.4,9792.3,622.8
27571,0.051,9139.2,8.5,2.5,2.5,3155.0,12294.2,622.5
22781,0.016,7736.3,8.5,25.4,25.4,32276.8,40013.0,621.5
29007,0.061,8906.9,8.5,0.9,0.9,1207.9,10114.8,620.9
29147,0.066,8218.3,8.5,0.9,0.9,1206.6,9424.9,620.6
141427,0.052,8562.6,8.5,2.7,2.7,3438.3,12000.9,620.3
27027,0.032,5479.8,8.5,11.0,11.0,14041.1,19520.9,619.0
29679,0.079,6805.7,8.5,0.8,0.8,1012.0,7817.8,618.8
30287,0.086,6152.0,8.5,0.8,0.8,1007.6,7159.7,618.7
27059,0.065,8442.6,8.5,0.9,0.9,1090.1,9532.7,618.4
26675,0.065,8442.6,8.5,0.8,0.8,1066.1,9508.7,618.0
28671,0.085,6325.1,8.5,0.7,0.7,903.0,7228.1,618.0
28539,0.065,8442.6,8.5,0.9,0.9,1090.1,9532.7,617.3
30023,0.086,6252.0,8.5,0.7,0.7,887.8,7139.7,617.1
26091,0.039,13117.0,8.5,2.0,2.0,2538.2,15655.2,615.5
32311,0.069,7959.8,8.5,0.8,0.8,1015.5,8975.3,615.3
29059,0.06,8787.1,8.5,1.1,1.1,1421.6,10208.7,614.9
26659,0.064,8442.6,8.5,0.9,0.9,1167.2,9609.9,614.2
26101,0.04,12884.2,8.5,2.0,2.0,2583.4,15467.6,614.1
28467,0.057,9062.0,8.5,1.4,1.4,1753.7,10815.7,613.5
29711,0.067,7852.1,8.5,1.0,1.0,1245.7,9097.8,612.5
85944,0.04,13384.7,8.5,1.6,1.6,1988.3,15373.0,612.1
23935,0.036,6830.5,8.5,8.0,8.0,10197.8,17028.3,611.8
29663,0.067,7852.1,8.5,1.0,1.0,1245.7,9097.8,611.3
113283,0.066,8037.9,8.5,1.0,1.0,1247.1,9285.0,611.2
29219,0.062,8413.9,8.5,1.1,1.1,1433.5,9847.4,610.7
30767,0.093,5890.5,8.5,0.5,0.5,679.6,6570.1,610.1
29875,0.079,7009.7,8.5,0.6,0.6,738.8,7748.5,609.7
26943,0.067,7572.6,8.5,1.2,1.2,1520.2,9092.8,609.4
29903,0.058,8605.6,8.5,1.5,1.5,1871.9,10477.4,608.9
28927,0.069,7852.1,8.5,0.7,0.7,908.5,8760.6,608.8
29987,0.07,7839.8,8.5,0.6,0.6,822.4,8662.2,608.7
85204,0.057,9034.2,8.5,1.3,1.3,1673.7,10707.9,608.7
31123,0.069,7451.9,8.5,1.1,1.1,1380.2,8832.1,606.8
29135,0.062,8620.1,8.5,0.9,0.9,1162.0,9782.2,606.7
28443,0.059,8926.8,8.5,1.1,1.1,1387.8,10314.6,606.5
26571,0.054,8956.2,8.5,1.8,1.8,2275.2,11231.5,606.1
29159,0.061,8752.6,8.5,0.9,0.9,1163.7,9916.3,605.6
29539,0.062,8377.8,8.5,1.1,1.1,1353.7,9731.5,604.8
23427,0.064,8147.3,8.5,1.0,1.0,1302.3,9449.6,604.7
